episode,cumulative_reward,average_reward,discounted_reward,convergence_rate,sample_efficiency,policy_entropy,space_complexity
0,398,12.4375,1.4466100198021275e-05,,16,1.0921738147735596,33795
1,240,7.5,2.2015554004456215,,15,0.8382517099380493,33795
2,442,13.8125,0.26400000022015574,,16,0.9387199878692627,33795
3,396,12.375,0.16501442100018704,,16,0.9804423451423645,33795
4,456,14.25,2.1088437701447896e-05,,16,0.44964903593063354,33795
5,392,12.25,1.892099000003411e-05,,16,0.08157522976398468,33795
6,398,12.4375,8.801437733017778,,16,0.43664902448654175,33795
7,318,9.9375,0.09901430132330004,,16,0.7029726505279541,33795
8,230,7.1875,0.0003300000000021121,,16,0.8076646327972412,33795
9,412,12.875,10.0331000454487,,15,0.46776390075683594,33795
10,334,10.4375,0.0016632007701654612,,16,0.8325178623199463,33795
11,240,7.5,3.3784432012277447e-06,,16,0.6928896307945251,33795
12,178,5.5625,3.3002200000154773,,16,0.5407633781433105,33795
13,404,12.625,0.0014421013201540225,,16,0.6753228902816772,33795
14,256,8.0,1.9800017600337895e-05,,16,0.5680027604103088,33795
15,332,10.375,0.18844111122109908,,16,0.5839249491691589,33795
16,298,9.3125,13.255225501650264,,16,0.48326343297958374,33795
17,370,11.5625,5.6104422,,16,0.4378983974456787,33795
18,332,10.375,14.300019801540166,,16,0.21264979243278503,33795
19,148,4.625,0.19855670021000008,,15,0.06592245399951935,33795
20,184,5.75,3.300660132782232,,16,0.6707889437675476,33795
21,476,14.875,0.08822220001879942,,16,0.08673923462629318,33795
22,284,8.875,2.095501991000903e-05,,16,0.545983076095581,33795
23,238,7.4375,0.14410783310660047,,16,0.5997260808944702,33795
24,220,6.875,0.24266550000772205,,16,0.11042506247758865,33795
25,306,9.5625,0.0014300024200000223,,15,0.6733870506286621,33795
26,294,9.1875,1.2100660212426514e-07,,16,0.05739835277199745,33795
27,164,5.125,5.632003300346502e-06,,15,0.026103761047124863,33795
28,492,15.375,0.0015543020956003545,,16,0.5899022817611694,33795
29,186,5.8125,1.1000000143020906e-07,,15,0.6603971719741821,33795
30,272,8.5,8.910001100446733,,16,0.5551385879516602,33795
31,354,11.0625,1.1001100016691554e-06,,16,0.6535501480102539,33795
32,426,13.3125,0.0014300013200016835,,16,0.5711961984634399,33795
33,454,14.1875,0.16632880045100007,,16,0.589828372001648,33795
34,464,14.5,1.6621000187025768e-05,,16,0.5844323635101318,33795
35,322,10.0625,6.600016500014368,,16,0.6425317525863647,33795
36,376,11.75,0.001995533554476001,,16,0.00010329920041840523,33795
37,264,8.25,0.0017600016501430117,,16,0.5946139097213745,33795
38,368,11.5,0.19855000220020905,,14,0.6697201132774353,33795
39,390,12.1875,4.511430186999999,,16,0.6934054493904114,33795
40,366,11.4375,0.002530110000000028,,15,0.585378110408783,33795
41,320,10.0,1.887601775512254e-07,,15,0.04332821071147919,33795
42,320,10.0,0.05633650044002204,,16,0.04176481068134308,33795
43,308,9.625,1.2320121000044668,,16,0.16834552586078644,33795
44,294,9.1875,4.434214400232401e-06,,16,0.5412437915802002,33795
45,276,8.625,4.400002200000001,,16,0.013072478584945202,33795
46,282,8.8125,9.900770001996499,,16,0.014716079458594322,33795
47,298,9.3125,1.1019800007920007e-06,,16,0.6367685794830322,33795
48,306,9.5625,0.21011332221880039,,16,0.40769150853157043,33795
49,284,8.875,0.12188014300001102,,16,0.5279213786125183,33795
50,394,12.3125,0.18810000001991128,,16,0.034353747963905334,33795
