episode,step,state,action,reward,next_state,terminated,cumulative_reward,average_reward,discounted_reward,convergence_rate,sample_efficiency,policy_consistency,policy_entropy,time_complexity,space_complexity
0,16,[17.  7.],,,,True,404,12.625,11.001980220990163,-0.8888888888888888,32,1.0,1.0921738147735596,0.0013501644134521484,33795
1,16,[15. 19.],,,,True,334,10.4375,0.08800000000772201,2.3333333333333335,32,1.0,1.0424319505691528,0.0007021427154541016,33795
2,16,[ 0. 41.],,,,True,282,8.8125,0.1982200011000441,0.0,32,1.0,0.8858288526535034,0.0006589889526367188,33795
3,16,[ 9. 33.],,,,True,434,13.5625,41.80012001000019,-0.5555555555555556,32,1.0,0.9804423451423645,0.0006723403930664062,33795
4,16,[10. 33.],,,,True,456,14.25,2.1088437701447896e-05,-1.3333333333333333,32,1.0,0.8329135179519653,0.0013508796691894531,33795
5,16,[73. 36.],,,,True,410,12.8125,9.90001892099,-2.2222222222222223,32,1.0,0.4403635859489441,0.0013527870178222656,33795
6,16,[10. 41.],,,,True,406,12.6875,19.921660000017777,-2.5555555555555554,32,1.0,0.637871265411377,0.0008709430694580078,33795
7,16,[ 4. 41.],,,,True,392,12.25,39.601441001323295,0.4444444444444444,32,1.0,0.7641908526420593,0.0012998580932617188,33795
8,16,[ 0. 14.],,,,True,330,10.3125,31.977672100000003,0.0,32,1.0,0.16441595554351807,0.0011992454528808594,33795
9,16,[ 2. 46.],,,,True,420,13.125,13.3441000454487,0.0,32,1.0,0.27972397208213806,0.0012142658233642578,33795
10,16,[49.  3.],,,,True,310,9.6875,0.23188220044440008,0.0,32,1.0,0.8633807897567749,0.0012221336364746094,33795
11,16,[ 3. 11.],,,,True,240,7.5,3.3784432012277447e-06,2.5555555555555554,32,1.0,0.2785080671310425,0.001689910888671875,33795
12,16,[ 0. 49.],,,,True,152,4.75,0.02200003355017604,0.0,32,1.0,0.4685245752334595,0.0007157325744628906,33795
13,16,[0. 4.],,,,True,360,11.25,4.400006644000155,-3.888888888888889,32,1.0,0.20099101960659027,0.0007221698760986328,33795
14,16,[7. 3.],,,,True,290,9.0625,18.7000198000176,-0.1111111111111111,32,1.0,0.4926525354385376,0.0006926059722900391,33795
15,16,[ 9. 30.],,,,True,350,10.9375,12.265023211550002,-0.6666666666666666,32,1.0,0.21013858914375305,0.0006814002990722656,33795
16,16,[13.  5.],,,,True,474,14.8125,33.000000165017596,-0.4444444444444444,32,1.0,0.12262424826622009,0.0008053779602050781,33795
17,16,[18. 22.],,,,True,390,12.1875,23.177221100000004,4.555555555555555,32,1.0,0.09249590337276459,0.0007939338684082031,33795
18,16,[2. 7.],,,,True,306,9.5625,1.980154016667641e-05,2.6666666666666665,32,1.0,0.6260142922401428,0.0007214546203613281,33795
19,16,[ 0. 24.],,,,True,238,7.4375,0.18810000231000193,0.0,32,1.0,0.4438721537590027,0.0016384124755859375,33795
20,16,[35. 20.],,,,True,476,14.875,0.16599000001430173,-1.4444444444444444,32,1.0,0.0705554187297821,0.0008802413940429688,33795
21,16,[ 0. 23.],,,,True,370,11.5625,22.09902097778548,0.0,32,1.0,0.2680822014808655,0.0013136863708496094,33795
22,16,[ 6. 19.],,,,True,360,11.25,18.700017600024275,2.5555555555555554,32,1.0,0.24172177910804749,0.0007786750793457031,33795
23,16,[43. 39.],,,,True,426,13.3125,19.80188430001219,3.111111111111111,32,1.0,0.6896377801895142,0.0012047290802001953,33795
24,16,[9. 1.],,,,True,474,14.8125,16.502640144446623,0.0,32,1.0,0.6968254446983337,0.0008478164672851562,33795
25,16,[ 6. 17.],,,,True,354,11.0625,0.17601217788002207,3.2222222222222223,32,1.0,0.5430691242218018,0.0008435249328613281,33795
26,16,[ 2. 31.],,,,True,340,10.625,0.06622000177320145,5.444444444444445,32,1.0,0.6824439764022827,0.0007321834564208984,33795
27,16,[ 0. 21.],,,,True,388,12.125,39.743015510000205,-3.4444444444444446,32,1.0,0.04578837379813194,0.0010247230529785156,33795
