episode,step,state,action,reward,next_state,terminated,cumulative_reward,average_reward,discounted_reward,convergence_rate,sample_efficiency,policy_consistency,policy_entropy,time_complexity,space_complexity
0,0,"(1, 4)",[0],0,"(0, 8)",False,0,0,0,0,0,1,0,0.0022459030151367188,2400
0,1,"(0, 8)",[1],35,"(2, 7)",False,0,0.0,0.0,1,1,0.0,0.36743774347453717,0.0024003982543945312,2400
0,2,"(2, 7)",[0],0,"(0, 5)",False,35,17.5,3.5,2,2,0.0,-0.0,0.0024788379669189453,2400
0,3,"(0, 5)",[0],0,"(0, 8)",False,35,11.666666666666666,3.5,2,3,0.33333333333333337,0.0027851519912182997,0.002544879913330078,2400
0,4,"(0, 8)",[0],0,"(0, 6)",False,35,8.75,3.5,2,4,0.5,0.36743774347453717,0.002611398696899414,2400
0,5,"(0, 6)",[0],0,"(0, 9)",False,35,7.0,3.5,2,5,0.6,-0.0,0.002679109573364258,2400
0,6,"(0, 9)",[1],35,"(2, 6)",False,35,5.833333333333333,3.5,3,6,0.5,0.36743774347453717,0.0027458667755126953,2400
0,7,"(2, 6)",[0],0,"(0, 7)",False,70,10.0,3.500035,4,7,0.4285714285714286,-0.0,0.0028128623962402344,2400
0,8,"(0, 7)",[1],36,"(1, 4)",False,70,8.75,3.500035,5,8,0.375,0.3677944490115133,0.0029077529907226562,2400
0,9,"(1, 4)",[0],0,"(0, 4)",False,106,11.777777777777779,3.50003536,6,9,0.33333333333333337,-0.0,0.0029768943786621094,2400
0,10,"(0, 4)",[0],0,"(0, 0)",False,106,10.6,3.50003536,6,10,0.4,-0.0,0.003043651580810547,2400
0,11,"(0, 0)",[2],80,"(0, 0)",False,106,9.636363636363637,3.50003536,7,11,0.36363636363636365,0.17851484095136777,0.003108978271484375,2400
0,12,"(0, 0)",[0],0,"(0, 4)",False,186,15.5,3.5000353608,8,12,0.33333333333333337,0.17851484095136777,0.003175497055053711,2400
0,13,"(0, 4)",[1],37,"(1, 3)",False,186,14.307692307692308,3.5000353608,9,13,0.3076923076923077,0.36787334103723074,0.0032434463500976562,2400
0,14,"(1, 3)",[1],37,"(1, 0)",False,223,15.928571428571429,3.5000353608037003,9,14,0.3571428571428571,0.36787334103723074,0.0033111572265625,2400
0,15,"(1, 0)",[0],0,"(0, 3)",True,260,17.333333333333332,3.50003536080407,10,15,0.33333333333333337,-0.0,0.003379344940185547,2400
1,0,"(9, 6)",[2],60,"(9, 6)",False,0,0,0,0,0,1,0,0.0035400390625,2400
1,1,"(9, 6)",[2],60,"(9, 8)",False,60,60.0,60.0,0,1,1.0,-0.2117069639746699,0.0036127567291259766,2400
1,2,"(9, 8)",[1],30,"(4, 9)",False,120,60.0,66.0,1,2,0.5,0.36119184119778075,0.0036804676055908203,2400
1,3,"(4, 9)",[0],0,"(0, 9)",False,150,50.0,66.3,2,3,0.33333333333333337,0.0027851519912182997,0.0037467479705810547,2400
1,4,"(0, 9)",[2],62,"(9, 7)",False,150,37.5,66.3,3,4,0.25,0.6638199399591971,0.0038137435913085938,2400
1,5,"(9, 7)",[2],60,"(9, 8)",False,212,42.4,66.3062,3,5,0.4,0.306348546859221,0.0038995742797851562,2400
1,6,"(9, 8)",[2],60,"(9, 9)",False,272,45.333333333333336,66.30680000000001,3,6,0.5,0.6676872153573752,0.003969430923461914,2400
1,7,"(9, 9)",[1],30,"(4, 5)",False,332,47.42857142857143,66.30686000000001,4,7,0.4285714285714286,0.36119184119778075,0.004037141799926758,2400
1,8,"(4, 5)",[1],34,"(2, 0)",False,362,45.25,66.30686300000002,4,8,0.5,0.3667952847664562,0.004103899002075195,2400
1,9,"(2, 0)",[2],75,"(2, 3)",False,396,44.0,66.30686334000002,5,9,0.4444444444444444,0.21576155423883567,0.0041730403900146484,2400
1,10,"(2, 3)",[2],71,"(4, 4)",False,471,47.1,66.30686341500002,5,10,0.5,0.24316811925221096,0.0042383670806884766,2400
1,11,"(4, 4)",[2],66,"(6, 3)",False,542,49.27272727272727,66.30686342210002,5,11,0.5454545454545454,0.2742401929146994,0.004304409027099609,2400
1,12,"(6, 3)",[2],67,"(6, 3)",False,608,50.666666666666664,66.30686342276002,5,12,0.5833333333333333,0.2683199695200739,0.004370450973510742,2400
1,13,"(6, 3)",[1],35,"(2, 0)",False,675,51.92307692307692,66.30686342282702,6,13,0.5384615384615384,0.6357942765899219,0.004437685012817383,2400
1,14,"(2, 0)",[0],0,"(0, 4)",False,710,50.714285714285715,66.30686342283052,7,14,0.5,0.2186852969331963,0.0045032501220703125,2400
1,15,"(0, 4)",[2],71,"(4, 1)",True,710,47.333333333333336,66.30686342283052,8,15,0.4666666666666667,0.6110414602894417,0.004569053649902344,2400
2,0,"(5, 7)",[2],60,"(9, 8)",False,0,0,0,0,0,1,0,0.004686594009399414,2400
2,1,"(9, 8)",[2],60,"(9, 8)",False,60,60.0,60.0,0,1,1.0,0.1487783410856054,0.0047550201416015625,2400
2,2,"(9, 8)",[0],0,"(0, 8)",False,120,60.0,66.0,1,2,0.5,0.1515634930768237,0.004821300506591797,2400
2,3,"(0, 8)",[1],35,"(2, 9)",False,120,40.0,66.0,2,3,0.33333333333333337,0.2519153337334256,0.0049285888671875,2400
2,4,"(2, 9)",[0],0,"(0, 9)",False,155,38.75,66.035,3,4,0.25,0.004579190369553593,0.00500035285949707,2400
2,5,"(0, 9)",[0],0,"(0, 5)",False,155,31.0,66.035,3,5,0.4,0.6638251427256502,0.005071401596069336,2400
2,6,"(0, 5)",[0],0,"(0, 6)",False,155,25.833333333333332,66.035,3,6,0.5,0.0027607829116793555,0.005136728286743164,2400
2,7,"(0, 6)",[2],67,"(6, 7)",False,155,22.142857142857142,66.035,4,7,0.4285714285714286,0.2683199695200739,0.005202293395996094,2400
2,8,"(6, 7)",[1],33,"(3, 2)",False,222,27.75,66.0350067,5,8,0.375,0.3658586659921316,0.005268096923828125,2400
2,9,"(3, 2)",[2],72,"(3, 0)",False,255,28.333333333333332,66.03500703,6,9,0.33333333333333337,0.23652292811986594,0.005334615707397461,2400
2,10,"(3, 0)",[1],37,"(1, 2)",False,327,32.7,66.03500710200001,7,10,0.30000000000000004,0.36787334103723074,0.005400896072387695,2400
2,11,"(1, 2)",[1],38,"(0, 0)",False,364,33.09090909090909,66.0350071057,7,11,0.36363636363636365,0.3676551555855241,0.00546717643737793,2400
2,12,"(0, 0)",[2],78,"(0, 1)",False,402,33.5,66.03500710608,8,12,0.33333333333333337,-0.7110921470790273,0.0060541629791259766,2400
2,13,"(0, 1)",[1],39,"(0, 4)",False,480,36.92307692307692,66.035007106158,9,13,0.3076923076923077,0.3671852266178734,0.006134748458862305,2400
2,14,"(0, 4)",[0],0,"(0, 4)",False,519,37.07142857142857,66.0350071061619,10,14,0.2857142857142857,0.6161891345568712,0.006203889846801758,2400
2,15,"(0, 4)",[1],37,"(1, 0)",True,519,34.6,66.0350071061619,11,15,0.2666666666666667,0.4737102077811176,0.0062716007232666016,2400
3,0,"(3, 0)",[2],75,"(2, 6)",False,0,0,0,0,0,1,0,0.006395101547241211,2400
3,1,"(2, 6)",[2],64,"(7, 5)",False,75,75.0,75.0,0,1,1.0,0.28562374558218845,0.006462574005126953,2400
3,2,"(7, 5)",[2],61,"(9, 8)",False,139,69.5,81.4,0,2,1.0,0.30091547362707294,0.006532192230224609,2400
3,3,"(9, 8)",[0],0,"(0, 9)",False,200,66.66666666666667,82.01,1,3,0.6666666666666667,0.15548761896473423,0.006607770919799805,2400
3,4,"(0, 9)",[2],61,"(9, 9)",False,200,50.0,82.01,2,4,0.5,0.11992272831140086,0.0066754817962646484,2400
3,5,"(9, 9)",[0],0,"(0, 9)",False,261,52.2,82.01610000000001,3,5,0.4,0.3694001041169532,0.006743669509887695,2400
3,6,"(0, 9)",[2],61,"(9, 8)",False,261,43.5,82.01610000000001,4,6,0.33333333333333337,-0.7273242532171145,0.0068264007568359375,2400
3,7,"(9, 8)",[2],60,"(9, 5)",False,322,46.0,82.01616100000001,4,7,0.4285714285714286,-0.662656978942347,0.006902933120727539,2400
3,8,"(9, 5)",[0],0,"(0, 3)",False,382,47.75,82.01616700000001,5,8,0.375,-0.0,0.006970405578613281,2400
3,9,"(0, 3)",[1],38,"(0, 2)",False,382,42.44444444444444,82.01616700000001,6,9,0.33333333333333337,0.3676819298794481,0.007035255432128906,2400
3,10,"(0, 2)",[1],38,"(0, 3)",False,420,42.0,82.016167038,6,10,0.4,0.3676694218727293,0.00709986686706543,2400
3,11,"(0, 3)",[0],0,"(0, 3)",False,458,41.63636363636363,82.0161670418,7,11,0.36363636363636365,0.37067455871544075,0.007193326950073242,2400
3,12,"(0, 3)",[1],38,"(0, 0)",False,458,38.166666666666664,82.0161670418,8,12,0.33333333333333337,0.2131779172021773,0.0072650909423828125,2400
3,13,"(0, 0)",[2],78,"(0, 0)",False,496,38.15384615384615,82.016167041838,9,13,0.3076923076923077,-1.9853800368073253,0.0073320865631103516,2400
3,14,"(0, 0)",[2],78,"(1, 2)",False,574,41.0,82.0161670418458,9,14,0.3571428571428571,-3.496383220329447,0.007403850555419922,2400
3,15,"(1, 2)",[0],0,"(0, 4)",True,652,43.46666666666667,82.01616704184659,10,15,0.33333333333333337,0.3729667301118001,0.007474422454833984,2400
4,0,"(7, 6)",[1],33,"(3, 7)",False,0,0,0,0,0,1,0,0.0076024532318115234,2400
4,1,"(3, 7)",[0],0,"(0, 5)",False,33,33.0,33.0,1,1,0.0,5.15422023027389e-06,0.00767064094543457,2400
4,2,"(0, 5)",[1],37,"(1, 5)",False,33,16.5,33.0,2,2,0.0,0.3706341239489101,0.007739067077636719,2400
4,3,"(1, 5)",[0],0,"(0, 8)",False,70,23.333333333333332,33.37,3,3,0.0,0.005063166785644492,0.007822990417480469,2400
4,4,"(0, 8)",[2],63,"(8, 5)",False,70,17.5,33.37,4,4,0.0,0.5429976731792576,0.007890701293945312,2400
4,5,"(8, 5)",[0],0,"(0, 5)",False,133,26.6,33.3763,5,5,0.0,0.002923742694360635,0.007956981658935547,2400
4,6,"(0, 5)",[2],68,"(5, 5)",False,133,22.166666666666668,33.3763,6,6,0.0,0.6328846108010596,0.008022308349609375,2400
4,7,"(5, 5)",[1],34,"(2, 8)",False,201,28.714285714285715,33.376368,7,7,0.0,0.3667952847664562,0.008108854293823242,2400
4,8,"(2, 8)",[2],60,"(9, 0)",False,235,29.375,33.3763714,8,8,0.0,0.30649537415959444,0.008182287216186523,2400
4,9,"(9, 0)",[1],34,"(2, 0)",False,295,32.77777777777778,33.376371999999996,9,9,0.0,0.3668535654141724,0.008248567581176758,2400
4,10,"(2, 0)",[1],38,"(0, 4)",False,329,32.9,33.376372034,9,10,0.09999999999999998,0.5863426460523987,0.008313179016113281,2400
4,11,"(0, 4)",[2],70,"(4, 3)",False,367,33.36363636363637,33.376372037799996,10,11,0.09090909090909094,-0.24439781382667225,0.008377313613891602,2400
